"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 10:29:19 GMT 2022","Sat Sep 24 10:29:27 GMT 2022","7829","","Actions","","","","Checking the Savings Calculator",""
"passed","Sat Sep 24 10:28:06 GMT 2022","Sat Sep 24 10:28:20 GMT 2022","13651","","Actions","","","","Registration on the website with invalid email",""
"passed","Sat Sep 24 10:29:06 GMT 2022","Sat Sep 24 10:29:14 GMT 2022","8110","","Actions","","","","Voice Api section check",""
"passed","Sat Sep 24 10:29:33 GMT 2022","Sat Sep 24 10:29:44 GMT 2022","11082","","Actions","","","","Sending a message using a function Talk to an expert",""
"passed","Sat Sep 24 10:28:59 GMT 2022","Sat Sep 24 10:29:06 GMT 2022","7075","","Actions","","","","Password reset",""
"passed","Sat Sep 24 10:29:27 GMT 2022","Sat Sep 24 10:29:33 GMT 2022","6421","","Actions","","","","Checking the Marketplace",""
"passed","Sat Sep 24 10:28:46 GMT 2022","Sat Sep 24 10:28:59 GMT 2022","12769","","Actions","","","","Authorization on the website",""
"passed","Sat Sep 24 10:29:44 GMT 2022","Sat Sep 24 10:29:50 GMT 2022","5571","","Actions","","","","Products section check",""
"passed","Sat Sep 24 10:29:14 GMT 2022","Sat Sep 24 10:29:19 GMT 2022","4887","","Actions","","","","Careers section check",""
"failed","Sat Sep 24 10:28:20 GMT 2022","Sat Sep 24 10:28:46 GMT 2022","26035","","Actions","","","","Registration on the website with valid email",""
